world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
museum	(6,4)	N2407545	N5843320	p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);	6	2.0	6	18	FALSE	27.75	3	6	2,1
museum	(2,4)	N1544908	N5843320	p(4,0);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	6	4.0	6	18	FALSE	23.75	8	4	2,1,3,2
museum	(0,4)	N7367923	N2766129	p(2,4);p(1,4);p(0,4);	6	2.0	2	18	FALSE	26.833332	3	4	2,1
museum	(4,0)	N702079	N2766129	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);	6	2.0	6	22	FALSE	31.5	3	4	1,2
museum	(6,4)	N2560548	N2766129	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);	6	2.0	10	26	FALSE	34.166664	3	4	2,1
museum	(4,0)	N9086861	N8235434	p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);	6	2.0	8	20	FALSE	25.25	3	6	1,2
museum	(4,4)	N1421546	N8235434	p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	6	4.0	10	22	FALSE	26.25	8	4	1,2,2,3
museum	(4,4)	N3996738	N2769566	p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);	6	4.0	4	20	FALSE	25.75	8	4	1,2,2,3
museum	(0,4)	N8366316	N2769566	p(4,0);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);	6	2.0	8	24	FALSE	33.75	3	6	2,1
museum	(6,4)	N2147500	N1666022	p(4,4);p(5,4);p(6,4);	6	2.0	2	20	FALSE	28.166664	3	4	2,1
museum	(4,0)	N5955536	N1666022	p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);	6	2.0	4	22	FALSE	31.5	3	4	1,2
museum	(0,4)	N8827009	N1666022	p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);	6	2.0	10	28	FALSE	36.833332	3	4	2,1
museum	(4,0)	N8559917	N4946088	p(4,1);p(4,0);	6	2.0	1	16	FALSE	21.25	3	6	1,2
museum	(4,4)	N2723957	N4946088	p(4,1);p(4,2);p(4,3);p(4,4);	6	4.0	3	18	FALSE	22.25	8	4	1,2,2,3
museum	(4,4)	N3313877	N3228077	p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);	6	4.0	4	16	FALSE	21.75	8	4	1,2,2,3
museum	(0,4)	N2208163	N3228077	p(4,0);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);	6	2.0	8	20	FALSE	29.75	3	6	2,1
museum	(6,4)	N4336585	N3255322	p(4,4);p(5,4);p(6,4);	6	2.0	2	16	FALSE	24.166666	3	4	2,1
museum	(4,0)	N764813	N3255322	p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);	6	2.0	4	18	FALSE	27.499998	3	4	1,2
