world,node,child,value,dv_0.0,dv_0.01,dv_0.02,dv_0.03,dv_0.04,dv_0.05,dv_0.06,dv_0.07,dv_0.08,dv_0.09,dv_0.1,dv_0.11,dv_0.12,dv_0.13,dv_0.14,dv_0.15,dv_0.16,dv_0.17,dv_0.18,dv_0.19,dv_0.2,dv_0.21,dv_0.22,dv_0.23,dv_0.24,dv_0.25,dv_0.26,dv_0.27,dv_0.28,dv_0.29,dv_0.3,dv_0.31,dv_0.32,dv_0.33,dv_0.34,dv_0.35,dv_0.36,dv_0.37,dv_0.38,dv_0.39,dv_0.4,dv_0.41,dv_0.42,dv_0.43,dv_0.44,dv_0.45,dv_0.46,dv_0.47,dv_0.48,dv_0.49,dv_0.5,dv_0.51,dv_0.52,dv_0.53,dv_0.54,dv_0.55,dv_0.56,dv_0.57,dv_0.58,dv_0.59,dv_0.6,dv_0.61,dv_0.62,dv_0.63,dv_0.64,dv_0.65,dv_0.66,dv_0.67,dv_0.68,dv_0.69,dv_0.7,dv_0.71,dv_0.72,dv_0.73,dv_0.74,dv_0.75,dv_0.76,dv_0.77,dv_0.78,dv_0.79,dv_0.8,dv_0.81,dv_0.82,dv_0.83,dv_0.84,dv_0.85,dv_0.86,dv_0.87,dv_0.88,dv_0.89,dv_0.9,dv_0.91,dv_0.92,dv_0.93,dv_0.94,dv_0.95,dv_0.96,dv_0.97,dv_0.98,dv_0.99
tworooms,N5159403,N1738800,19.9,4.2,4.217,4.238,4.261,4.287,4.316,4.347,4.382,4.42,4.46,4.503,4.549,4.598,4.65,4.704,4.762,4.822,4.885,4.951,5.02,5.092,5.167,5.244,5.324,5.408,5.494,5.583,5.674,5.769,5.867,5.967,6.07,6.176,6.285,6.397,6.512,6.629,6.75,6.873,6.999,7.128,7.26,7.395,7.532,7.672,7.816,7.962,8.111,8.263,8.417,8.575,8.735,8.899,9.065,9.234,9.406,9.58,9.758,9.939,10.122,10.308,10.497,10.689,10.884,11.081,11.282,11.485,11.691,11.9,12.112,12.327,12.545,12.765,12.988,13.215,13.444,13.676,13.91,14.148,14.389,14.632,14.878,15.127,15.379,15.634,15.892,16.152,16.416,16.682,16.951,17.223,17.498,17.776,18.056,18.339,18.626,18.915,19.207,19.502,19.717
tworooms,N5159403,N1559736,20.1,10.7,10.745,10.792,10.839,10.888,10.937,10.988,11.039,11.091,11.145,11.199,11.254,11.311,11.368,11.426,11.485,11.545,11.607,11.669,11.732,11.796,11.861,11.927,11.994,12.062,12.131,12.201,12.272,12.344,12.417,12.491,12.566,12.642,12.719,12.796,12.875,12.955,13.036,13.118,13.2,13.284,13.369,13.454,13.541,13.629,13.717,13.807,13.897,13.989,14.081,14.175,14.269,14.365,14.461,14.559,14.657,14.757,14.857,14.958,15.061,15.164,15.268,15.374,15.48,15.587,15.695,15.804,15.915,16.026,16.138,16.251,16.365,16.48,16.596,16.713,16.831,16.95,17.07,17.191,17.313,17.436,17.56,17.685,17.811,17.937,18.065,18.194,18.324,18.455,18.586,18.719,18.853,18.987,19.123,19.26,19.397,19.536,19.675,19.816,19.957
tworooms,N5159403,N7004659,20.1,2.9,2.934,2.972,3.012,3.055,3.101,3.149,3.201,3.256,3.313,3.373,3.436,3.502,3.571,3.642,3.717,3.794,3.874,3.957,4.043,4.132,4.224,4.318,4.415,4.516,4.619,4.725,4.833,4.945,5.06,5.177,5.297,5.42,5.546,5.675,5.807,5.941,6.079,6.219,6.362,6.508,6.657,6.809,6.963,7.12,7.281,7.444,7.61,7.779,7.95,8.125,8.302,8.483,8.666,8.852,9.041,9.232,9.427,9.625,9.825,10.028,10.234,10.443,10.655,10.869,11.087,11.307,11.53,11.756,11.985,12.217,12.452,12.689,12.929,13.173,13.419,13.668,13.919,14.174,14.432,14.692,14.955,15.221,15.49,15.762,16.037,16.314,16.595,16.878,17.164,17.453,17.745,18.04,18.337,18.637,18.941,19.208,19.43,19.652,19.876
garden,N4747663,N4619086,20.091,1.909,1.92,1.932,1.945,1.958,1.973,1.988,2.004,2.021,2.039,2.058,2.078,2.099,2.121,2.145,2.169,2.196,2.223,2.253,2.284,2.316,2.35,2.386,2.424,2.464,2.506,2.551,2.597,2.646,2.697,2.751,2.808,2.867,2.929,2.994,3.063,3.134,3.209,3.287,3.369,3.455,3.544,3.638,3.735,3.837,3.944,4.054,4.17,4.29,4.415,4.545,4.681,4.822,4.969,5.121,5.28,5.444,5.615,5.792,5.976,6.166,6.364,6.569,6.781,7.0,7.227,7.463,7.706,7.958,8.218,8.487,8.765,9.052,9.348,9.654,9.969,10.295,10.631,10.977,11.334,11.702,12.081,12.472,12.874,13.288,13.714,14.152,14.583,15.01,15.447,15.894,16.353,16.776,17.164,17.56,17.962,18.372,18.79,19.216,19.649
garden,N4747663,N8246099,20.091,1.909,1.936,1.962,1.99,2.017,2.045,2.074,2.103,2.132,2.162,2.193,2.224,2.257,2.29,2.324,2.358,2.394,2.431,2.469,2.508,2.549,2.591,2.634,2.679,2.725,2.773,2.823,2.875,2.929,2.985,3.043,3.103,3.166,3.231,3.299,3.37,3.443,3.52,3.599,3.682,3.768,3.857,3.95,4.047,4.148,4.252,4.361,4.474,4.592,4.714,4.841,4.973,5.11,5.252,5.399,5.552,5.711,5.875,6.046,6.223,6.406,6.596,6.793,6.996,7.207,7.425,7.651,7.885,8.126,8.375,8.633,8.9,9.175,9.459,9.752,10.055,10.367,10.689,11.021,11.364,11.717,12.081,12.455,12.841,13.239,13.648,14.069,14.483,14.891,15.31,15.739,16.178,16.629,17.09,17.56,17.962,18.372,18.79,19.216,19.649
garden,N4747663,N1289190,20.455,4.909,4.941,4.975,5.009,5.044,5.08,5.117,5.155,5.194,5.234,5.275,5.317,5.36,5.405,5.451,5.498,5.546,5.595,5.646,5.698,5.752,5.807,5.864,5.922,5.982,6.043,6.106,6.171,6.237,6.306,6.376,6.449,6.523,6.599,6.678,6.758,6.841,6.927,7.014,7.104,7.197,7.292,7.39,7.491,7.594,7.701,7.81,7.922,8.038,8.156,8.278,8.404,8.533,8.665,8.801,8.941,9.084,9.232,9.383,9.538,9.698,9.862,10.031,10.204,10.381,10.563,10.75,10.942,11.139,11.341,11.549,11.761,11.979,12.203,12.433,12.668,12.909,13.156,13.41,13.67,13.936,14.209,14.488,14.775,15.068,15.368,15.676,15.991,16.313,16.634,16.948,17.268,17.596,17.929,18.269,18.616,18.97,19.33,19.698,20.073
garden,N4747663,N5433401,21.182,2.455,2.492,2.53,2.568,2.607,2.647,2.687,2.727,2.769,2.811,2.854,2.898,2.942,2.988,3.035,3.083,3.132,3.182,3.234,3.287,3.342,3.399,3.457,3.517,3.579,3.643,3.709,3.777,3.848,3.921,3.997,4.076,4.157,4.242,4.329,4.42,4.514,4.612,4.713,4.818,4.928,5.041,5.158,5.28,5.407,5.538,5.675,5.816,5.963,6.115,6.273,6.436,6.606,6.782,6.964,7.153,7.349,7.551,7.761,7.978,8.203,8.436,8.677,8.926,9.183,9.45,9.725,10.009,10.303,10.607,10.92,11.244,11.578,11.923,12.279,12.6,12.873,13.152,13.437,13.729,14.027,14.332,14.643,14.961,15.286,15.618,15.958,16.304,16.659,17.011,17.357,17.709,18.068,18.434,18.806,19.184,19.57,19.962,20.362,20.768
museum,N9449477,N3228077,20.1,2.7,2.744,2.791,2.841,2.893,2.948,3.006,3.066,3.129,3.196,3.265,3.337,3.412,3.49,3.571,3.656,3.743,3.834,3.928,4.025,4.126,4.23,4.337,4.448,4.562,4.68,4.801,4.926,5.055,5.187,5.323,5.463,5.606,5.727,5.846,5.968,6.091,6.217,6.345,6.475,6.607,6.742,6.879,7.018,7.16,7.304,7.45,7.6,7.751,7.906,8.062,8.222,8.384,8.549,8.717,8.888,9.061,9.238,9.417,9.599,9.785,9.973,10.165,10.359,10.557,10.758,10.962,11.17,11.38,11.594,11.812,12.033,12.257,12.485,12.717,12.952,13.19,13.432,13.678,13.928,14.182,14.439,14.7,14.965,15.234,15.507,15.784,16.064,16.349,16.638,16.932,17.229,17.531,17.837,18.147,18.461,18.78,19.103,19.431,19.763
museum,N9449477,N3255322,20.9,6.4,6.435,6.472,6.509,6.548,6.588,6.628,6.67,6.713,6.758,6.803,6.85,6.899,6.948,6.999,7.052,7.106,7.162,7.219,7.278,7.338,7.401,7.465,7.53,7.598,7.667,7.738,7.812,7.887,7.964,8.043,8.124,8.208,8.293,8.381,8.471,8.563,8.658,8.754,8.854,8.955,9.059,9.166,9.275,9.387,9.501,9.618,9.737,9.86,9.985,10.113,10.243,10.377,10.513,10.653,10.795,10.94,11.089,11.24,11.395,11.553,11.714,11.878,12.046,12.217,12.391,12.569,12.75,12.934,13.122,13.314,13.509,13.708,13.91,14.117,14.327,14.54,14.758,14.979,15.204,15.434,15.667,15.904,16.145,16.39,16.64,16.893,17.151,17.413,17.679,17.95,18.225,18.504,18.787,19.076,19.368,19.665,19.967,20.273,20.584
museum,N9449477,N934578,28.9,3.9,3.956,4.015,4.077,4.141,4.208,4.278,4.35,4.425,4.504,4.585,4.669,4.756,4.846,4.939,5.036,5.135,5.238,5.344,5.453,5.566,5.682,5.801,5.924,6.05,6.18,6.313,6.45,6.591,6.735,6.883,7.035,7.19,7.35,7.513,7.68,7.851,8.027,8.206,8.389,8.577,8.768,8.964,9.164,9.369,9.578,9.791,10.008,10.23,10.457,10.688,10.923,11.163,11.408,11.657,11.912,12.171,12.435,12.703,12.977,13.255,13.539,13.827,14.121,14.419,14.723,15.032,15.346,15.665,15.99,16.32,16.655,16.996,17.343,17.694,18.052,18.414,18.783,19.157,19.537,19.922,20.314,20.711,21.114,21.523,21.938,22.358,22.785,23.218,23.657,24.102,24.554,25.011,25.475,25.945,26.421,26.904,27.393,27.889,28.391
roomG,N5279315,N2518305,20.286,10.857,10.919,10.981,11.044,11.108,11.172,11.238,11.303,11.37,11.437,11.504,11.573,11.642,11.711,11.782,11.852,11.924,11.996,12.069,12.143,12.217,12.292,12.368,12.444,12.521,12.598,12.676,12.755,12.835,12.915,12.996,13.077,13.159,13.242,13.326,13.41,13.494,13.58,13.666,13.753,13.84,13.928,14.017,14.106,14.196,14.287,14.378,14.47,14.563,14.656,14.75,14.845,14.94,15.036,15.132,15.23,15.328,15.426,15.525,15.625,15.726,15.827,15.929,16.031,16.134,16.238,16.343,16.448,16.554,16.66,16.767,16.875,16.983,17.092,17.202,17.312,17.424,17.535,17.648,17.761,17.874,17.989,18.104,18.219,18.336,18.453,18.57,18.688,18.807,18.927,19.047,19.168,19.29,19.412,19.535,19.658,19.782,19.907,20.033,20.159
roomG,N5279315,N6566182,22.571,5.571,5.603,5.638,5.675,5.716,5.76,5.807,5.857,5.91,5.966,6.026,6.088,6.154,6.222,6.294,6.369,6.446,6.527,6.611,6.698,6.789,6.882,6.978,7.078,7.18,7.286,7.394,7.506,7.621,7.739,7.86,7.984,8.111,8.242,8.375,8.511,8.651,8.794,8.939,9.088,9.24,9.395,9.553,9.714,9.878,10.046,10.216,10.39,10.566,10.746,10.929,11.114,11.303,11.495,11.69,11.889,12.09,12.294,12.502,12.712,12.926,13.142,13.362,13.585,13.811,14.04,14.272,14.507,14.746,14.987,15.231,15.479,15.73,15.983,16.24,16.5,16.763,17.029,17.298,17.57,17.846,18.124,18.406,18.69,18.978,19.269,19.562,19.859,20.124,20.324,20.524,20.726,20.928,21.13,21.334,21.538,21.743,21.949,22.156,22.363
cubicles,N9981263,N2053914,20.333,12.667,12.743,12.82,12.897,12.973,13.05,13.127,13.203,13.28,13.357,13.433,13.51,13.587,13.663,13.74,13.817,13.893,13.97,14.047,14.123,14.2,14.277,14.353,14.43,14.507,14.583,14.66,14.737,14.813,14.89,14.967,15.043,15.12,15.197,15.273,15.35,15.427,15.503,15.58,15.657,15.733,15.81,15.887,15.963,16.04,16.117,16.193,16.27,16.347,16.423,16.5,16.577,16.653,16.73,16.807,16.883,16.96,17.037,17.113,17.19,17.267,17.343,17.42,17.497,17.573,17.65,17.727,17.803,17.88,17.957,18.033,18.11,18.187,18.263,18.34,18.417,18.493,18.57,18.647,18.723,18.8,18.877,18.953,19.03,19.107,19.183,19.26,19.337,19.413,19.49,19.567,19.643,19.72,19.797,19.873,19.95,20.027,20.103,20.18,20.257
cubicles,N9981263,N2381213,25.0,7.0,7.18,7.36,7.54,7.72,7.9,8.08,8.26,8.44,8.62,8.8,8.98,9.16,9.34,9.52,9.7,9.88,10.06,10.24,10.42,10.6,10.78,10.96,11.14,11.32,11.5,11.68,11.86,12.04,12.22,12.4,12.58,12.76,12.94,13.12,13.3,13.48,13.66,13.84,14.02,14.2,14.38,14.56,14.74,14.92,15.1,15.28,15.46,15.64,15.82,16.0,16.18,16.36,16.54,16.72,16.9,17.08,17.26,17.44,17.62,17.8,17.98,18.16,18.34,18.52,18.7,18.88,19.06,19.24,19.42,19.6,19.78,19.96,20.14,20.32,20.5,20.68,20.86,21.04,21.22,21.4,21.58,21.76,21.94,22.12,22.3,22.48,22.66,22.84,23.02,23.2,23.38,23.56,23.74,23.92,24.1,24.28,24.46,24.64,24.82
cubicles,N4606479,N7119625,20.333,12.667,12.743,12.82,12.897,12.973,13.05,13.127,13.203,13.28,13.357,13.433,13.51,13.587,13.663,13.74,13.817,13.893,13.97,14.047,14.123,14.2,14.277,14.353,14.43,14.507,14.583,14.66,14.737,14.813,14.89,14.967,15.043,15.12,15.197,15.273,15.35,15.427,15.503,15.58,15.657,15.733,15.81,15.887,15.963,16.04,16.117,16.193,16.27,16.347,16.423,16.5,16.577,16.653,16.73,16.807,16.883,16.96,17.037,17.113,17.19,17.267,17.343,17.42,17.497,17.573,17.65,17.727,17.803,17.88,17.957,18.033,18.11,18.187,18.263,18.34,18.417,18.493,18.57,18.647,18.723,18.8,18.877,18.953,19.03,19.107,19.183,19.26,19.337,19.413,19.49,19.567,19.643,19.72,19.797,19.873,19.95,20.027,20.103,20.18,20.257
cubicles,N4606479,N6517911,21.0,5.667,5.82,5.973,6.127,6.28,6.433,6.587,6.74,6.893,7.047,7.2,7.353,7.507,7.66,7.813,7.967,8.12,8.273,8.427,8.58,8.733,8.887,9.04,9.193,9.347,9.5,9.653,9.807,9.96,10.113,10.267,10.42,10.573,10.727,10.88,11.033,11.187,11.34,11.493,11.647,11.8,11.953,12.107,12.26,12.413,12.567,12.72,12.873,13.027,13.18,13.333,13.487,13.64,13.793,13.947,14.1,14.253,14.407,14.56,14.713,14.867,15.02,15.173,15.327,15.48,15.633,15.787,15.94,16.093,16.247,16.4,16.553,16.707,16.86,17.013,17.167,17.32,17.473,17.627,17.78,17.933,18.087,18.24,18.393,18.547,18.7,18.853,19.007,19.16,19.313,19.467,19.62,19.773,19.927,20.08,20.233,20.387,20.54,20.693,20.847
museum,N3878259,N4337909,20.5,2.3,2.336,2.374,2.414,2.456,2.5,2.546,2.594,2.644,2.696,2.751,2.808,2.867,2.928,2.992,3.058,3.127,3.197,3.271,3.347,3.425,3.506,3.589,3.675,3.763,3.855,3.949,4.045,4.145,4.247,4.352,4.459,4.57,4.684,4.8,4.92,5.042,5.168,5.296,5.428,5.562,5.7,5.841,5.986,6.133,6.284,6.438,6.595,6.756,6.92,7.088,7.258,7.433,7.611,7.792,7.978,8.166,8.359,8.555,8.754,8.958,9.165,9.376,9.59,9.809,10.032,10.258,10.488,10.723,10.961,11.203,11.45,11.7,11.955,12.214,12.477,12.744,13.015,13.291,13.571,13.855,14.144,14.437,14.735,15.037,15.343,15.654,15.97,16.29,16.615,16.944,17.278,17.617,17.96,18.309,18.662,19.02,19.382,19.75,20.122
museum,N3878259,N5843320,21.7,2.7,2.74,2.783,2.828,2.876,2.926,2.979,3.034,3.092,3.153,3.216,3.283,3.352,3.424,3.498,3.576,3.657,3.741,3.828,3.917,4.01,4.107,4.206,4.308,4.414,4.523,4.636,4.752,4.871,4.994,5.12,5.25,5.383,5.52,5.661,5.805,5.953,6.105,6.26,6.42,6.583,6.75,6.922,7.097,7.276,7.459,7.646,7.838,8.034,8.233,8.438,8.646,8.859,9.076,9.297,9.515,9.705,9.898,10.094,10.293,10.495,10.701,10.91,11.122,11.338,11.557,11.779,12.005,12.235,12.468,12.705,12.946,13.19,13.438,13.69,13.945,14.205,14.468,14.736,15.007,15.282,15.562,15.845,16.133,16.425,16.721,17.022,17.327,17.636,17.949,18.267,18.59,18.917,19.248,19.584,19.925,20.271,20.621,20.976,21.335
museum,N3878259,N2766129,23.3,7.2,7.24,7.28,7.322,7.365,7.41,7.455,7.502,7.551,7.6,7.652,7.704,7.759,7.815,7.872,7.931,7.992,8.055,8.119,8.186,8.254,8.324,8.396,8.469,8.545,8.623,8.704,8.786,8.87,8.957,9.046,9.137,9.231,9.327,9.425,9.526,9.629,9.735,9.844,9.955,10.069,10.185,10.305,10.427,10.552,10.679,10.81,10.944,11.08,11.22,11.363,11.508,11.657,11.809,11.965,12.123,12.285,12.451,12.619,12.792,12.967,13.146,13.329,13.515,13.705,13.899,14.096,14.297,14.502,14.711,14.923,15.14,15.36,15.584,15.813,16.045,16.282,16.523,16.768,17.017,17.27,17.528,17.79,18.057,18.328,18.603,18.883,19.168,19.457,19.751,20.049,20.352,20.66,20.973,21.291,21.613,21.941,22.273,22.61,22.953
ikea,N1400368,N9676480,20.5,16.667,16.705,16.743,16.782,16.82,16.858,16.897,16.935,16.973,17.012,17.05,17.088,17.127,17.165,17.203,17.242,17.28,17.318,17.357,17.395,17.433,17.472,17.51,17.548,17.587,17.625,17.663,17.702,17.74,17.778,17.817,17.855,17.893,17.932,17.97,18.008,18.047,18.085,18.123,18.162,18.2,18.238,18.277,18.315,18.353,18.392,18.43,18.468,18.507,18.545,18.583,18.622,18.66,18.698,18.737,18.775,18.813,18.852,18.89,18.928,18.967,19.005,19.043,19.082,19.12,19.158,19.197,19.235,19.273,19.312,19.35,19.388,19.427,19.465,19.503,19.542,19.58,19.618,19.657,19.695,19.733,19.772,19.81,19.848,19.887,19.925,19.963,20.002,20.04,20.078,20.117,20.155,20.193,20.232,20.27,20.308,20.347,20.385,20.423,20.462
ikea,N1400368,N2021230,23.5,7.167,7.33,7.493,7.657,7.82,7.983,8.147,8.31,8.473,8.637,8.8,8.963,9.127,9.29,9.453,9.617,9.78,9.943,10.107,10.27,10.433,10.597,10.76,10.923,11.087,11.25,11.413,11.577,11.74,11.903,12.067,12.23,12.393,12.557,12.72,12.883,13.047,13.21,13.373,13.537,13.7,13.863,14.027,14.19,14.353,14.517,14.68,14.843,15.007,15.17,15.333,15.497,15.66,15.823,15.987,16.15,16.313,16.477,16.64,16.803,16.967,17.13,17.293,17.457,17.62,17.783,17.947,18.11,18.273,18.437,18.6,18.763,18.927,19.09,19.253,19.417,19.58,19.743,19.907,20.07,20.233,20.397,20.56,20.723,20.887,21.05,21.213,21.377,21.54,21.703,21.867,22.03,22.193,22.357,22.52,22.683,22.847,23.01,23.173,23.337
tworooms,N6388298,N2446217,20.571,17.0,17.036,17.071,17.107,17.143,17.179,17.214,17.25,17.286,17.321,17.357,17.393,17.429,17.464,17.5,17.536,17.571,17.607,17.643,17.679,17.714,17.75,17.786,17.821,17.857,17.893,17.929,17.964,18.0,18.036,18.071,18.107,18.143,18.179,18.214,18.25,18.286,18.321,18.357,18.393,18.429,18.464,18.5,18.536,18.571,18.607,18.643,18.679,18.714,18.75,18.786,18.821,18.857,18.893,18.929,18.964,19.0,19.036,19.071,19.107,19.143,19.179,19.214,19.25,19.286,19.321,19.357,19.393,19.429,19.464,19.5,19.536,19.571,19.607,19.643,19.679,19.714,19.75,19.786,19.821,19.857,19.893,19.929,19.964,20.0,20.036,20.071,20.107,20.143,20.179,20.214,20.25,20.286,20.321,20.357,20.393,20.429,20.464,20.5,20.536
tworooms,N6388298,N3112363,22.571,2.143,2.347,2.551,2.756,2.96,3.164,3.369,3.573,3.777,3.981,4.186,4.39,4.594,4.799,5.003,5.207,5.411,5.616,5.82,6.024,6.229,6.433,6.637,6.841,7.046,7.25,7.454,7.659,7.863,8.067,8.271,8.476,8.68,8.884,9.089,9.293,9.497,9.701,9.906,10.11,10.314,10.519,10.723,10.927,11.131,11.336,11.54,11.744,11.949,12.153,12.357,12.561,12.766,12.97,13.174,13.379,13.583,13.787,13.991,14.196,14.4,14.604,14.809,15.013,15.217,15.421,15.626,15.83,16.034,16.239,16.443,16.647,16.851,17.056,17.26,17.464,17.669,17.873,18.077,18.281,18.486,18.69,18.894,19.099,19.303,19.507,19.711,19.916,20.12,20.324,20.529,20.733,20.937,21.141,21.346,21.55,21.754,21.959,22.163,22.367
lab,N4538173,N3633749,20.636,1.909,1.92,1.932,1.943,1.955,1.968,1.981,1.994,2.008,2.022,2.037,2.052,2.068,2.084,2.101,2.119,2.137,2.156,2.176,2.197,2.218,2.241,2.264,2.289,2.315,2.342,2.37,2.4,2.431,2.464,2.499,2.535,2.573,2.613,2.656,2.701,2.748,2.797,2.85,2.905,2.963,3.024,3.089,3.157,3.229,3.305,3.385,3.469,3.558,3.652,3.75,3.854,3.963,4.078,4.198,4.325,4.459,4.599,4.747,4.902,5.065,5.235,5.414,5.602,5.799,6.005,6.222,6.448,6.685,6.933,7.193,7.464,7.748,8.044,8.353,8.677,9.014,9.366,9.733,10.116,10.515,10.931,11.364,11.814,12.284,12.772,13.28,13.808,14.333,14.866,15.418,15.99,16.581,17.163,17.714,18.28,18.781,19.227,19.685,20.155
lab,N4538173,N6476882,20.818,4.909,4.927,4.946,4.965,4.985,5.005,5.026,5.047,5.069,5.092,5.115,5.139,5.164,5.189,5.216,5.243,5.271,5.3,5.33,5.362,5.394,5.427,5.462,5.498,5.536,5.575,5.615,5.657,5.701,5.746,5.794,5.843,5.894,5.947,6.002,6.06,6.12,6.182,6.247,6.315,6.385,6.458,6.535,6.614,6.697,6.783,6.873,6.966,7.063,7.165,7.27,7.38,7.494,7.612,7.736,7.864,7.998,8.137,8.282,8.432,8.588,8.75,8.919,9.095,9.277,9.466,9.663,9.867,10.079,10.299,10.527,10.764,11.01,11.264,11.529,11.803,12.087,12.381,12.686,12.96,13.239,13.527,13.824,14.13,14.446,14.771,15.107,15.452,15.808,16.175,16.553,16.942,17.343,17.755,18.18,18.617,19.067,19.496,19.925,20.366
lab,N4538173,N2899302,21.545,2.455,2.473,2.492,2.511,2.531,2.551,2.572,2.593,2.615,2.637,2.661,2.685,2.709,2.735,2.761,2.789,2.817,2.847,2.877,2.909,2.942,2.976,3.011,3.048,3.087,3.127,3.169,3.213,3.258,3.306,3.356,3.408,3.462,3.519,3.579,3.641,3.707,3.775,3.847,3.922,4.0,4.083,4.169,4.26,4.355,4.454,4.559,4.668,4.783,4.903,5.028,5.16,5.298,5.443,5.594,5.753,5.919,6.093,6.274,6.465,6.664,6.872,7.089,7.317,7.554,7.803,8.062,8.333,8.616,8.911,9.218,9.539,9.874,10.223,10.587,10.966,11.361,11.772,12.2,12.645,13.109,13.591,13.979,14.317,14.664,15.021,15.388,15.766,16.154,16.552,16.962,17.383,17.816,18.26,18.717,19.185,19.667,20.127,20.589,21.061
lab,N4538173,N63617,21.727,0.909,0.919,0.93,0.942,0.954,0.967,0.98,0.994,1.009,1.025,1.041,1.058,1.076,1.095,1.115,1.136,1.157,1.18,1.203,1.228,1.254,1.281,1.309,1.339,1.37,1.403,1.437,1.473,1.511,1.55,1.592,1.635,1.681,1.729,1.779,1.832,1.887,1.946,2.007,2.071,2.139,2.21,2.285,2.363,2.446,2.532,2.623,2.718,2.819,2.924,3.034,3.15,3.271,3.399,3.533,3.673,3.82,3.974,4.135,4.304,4.481,4.667,4.86,5.063,5.276,5.498,5.73,5.972,6.225,6.49,6.766,7.054,7.355,7.669,7.996,8.337,8.693,9.063,9.449,9.85,10.268,10.703,11.156,11.626,12.116,12.624,13.152,13.701,14.247,14.801,15.375,15.968,16.581,17.215,17.87,18.498,19.11,19.738,20.383,21.046
garden,N4613075,N8153414,20.714,4.143,4.196,4.25,4.304,4.359,4.415,4.472,4.53,4.588,4.648,4.708,4.77,4.833,4.897,4.962,5.028,5.096,5.165,5.236,5.308,5.382,5.457,5.534,5.612,5.693,5.775,5.858,5.944,6.032,6.122,6.213,6.307,6.403,6.501,6.602,6.704,6.809,6.917,7.026,7.139,7.254,7.371,7.491,7.614,7.74,7.868,7.999,8.133,8.27,8.41,8.554,8.7,8.849,9.002,9.157,9.317,9.479,9.645,9.814,9.987,10.163,10.343,10.527,10.714,10.905,11.1,11.299,11.502,11.708,11.919,12.134,12.353,12.576,12.803,13.034,13.27,13.51,13.755,14.004,14.257,14.515,14.778,15.046,15.318,15.595,15.876,16.163,16.454,16.751,17.052,17.359,17.67,17.987,18.309,18.637,18.969,19.307,19.651,20.0,20.354
garden,N4613075,N5298440,21.286,4.143,4.166,4.191,4.217,4.245,4.274,4.305,4.337,4.371,4.407,4.444,4.483,4.524,4.567,4.612,4.659,4.708,4.759,4.812,4.867,4.925,4.984,5.047,5.111,5.178,5.248,5.32,5.395,5.472,5.552,5.635,5.72,5.809,5.9,5.994,6.092,6.192,6.296,6.402,6.512,6.625,6.742,6.861,6.984,7.111,7.241,7.375,7.512,7.653,7.798,7.946,8.099,8.255,8.415,8.579,8.747,8.919,9.095,9.276,9.46,9.649,9.842,10.04,10.242,10.448,10.659,10.875,11.095,11.32,11.55,11.784,12.023,12.267,12.516,12.77,13.029,13.293,13.562,13.837,14.116,14.401,14.691,14.987,15.288,15.595,15.907,16.224,16.547,16.876,17.211,17.552,17.898,18.25,18.608,18.972,19.343,19.719,20.101,20.49,20.885
garden,N4613075,N4016530,24.429,5.0,5.07,5.142,5.214,5.287,5.36,5.435,5.511,5.589,5.667,5.746,5.827,5.91,5.993,6.078,6.165,6.253,6.343,6.434,6.528,6.623,6.72,6.819,6.919,7.022,7.127,7.234,7.344,7.455,7.569,7.685,7.804,7.925,8.048,8.174,8.303,8.435,8.569,8.706,8.846,8.989,9.134,9.283,9.435,9.59,9.748,9.91,10.075,10.243,10.414,10.589,10.768,10.95,11.136,11.325,11.518,11.716,11.916,12.121,12.33,12.543,12.76,12.981,13.206,13.436,13.669,13.908,14.15,14.397,14.649,14.905,15.166,15.431,15.702,15.977,16.257,16.542,16.831,17.126,17.426,17.731,18.042,18.357,18.678,19.004,19.336,19.673,20.016,20.364,20.701,21.02,21.343,21.669,22.0,22.335,22.673,23.016,23.363,23.714,24.069
ikea,N234416,N3896859,21.0,6.667,6.684,6.704,6.727,6.752,6.781,6.812,6.846,6.882,6.922,6.964,7.009,7.057,7.108,7.161,7.217,7.276,7.338,7.403,7.47,7.54,7.613,7.689,7.767,7.848,7.932,8.019,8.109,8.201,8.296,8.394,8.495,8.598,8.705,8.814,8.926,9.04,9.158,9.278,9.401,9.527,9.655,9.787,9.921,10.058,10.197,10.34,10.485,10.633,10.784,10.938,11.094,11.253,11.415,11.58,11.747,11.918,12.091,12.267,12.445,12.627,12.811,12.998,13.188,13.38,13.576,13.774,13.975,14.178,14.385,14.594,14.806,15.021,15.239,15.459,15.682,15.908,16.137,16.369,16.603,16.84,17.08,17.323,17.568,17.816,18.067,18.321,18.578,18.837,19.099,19.349,19.512,19.675,19.839,20.004,20.169,20.334,20.5,20.666,20.833
